,SubjectID,StimulusType,response,RT
0,0,1,1,591
1,0,1,1,527
2,0,1,1,331
3,0,0,0,0
4,0,1,1,363
5,0,1,1,313
6,0,1,1,331
7,0,1,1,331
8,0,1,1,313
9,0,1,1,444
10,0,1,1,378
11,0,1,1,297
12,0,1,1,297
13,0,1,1,314
14,0,1,1,248
15,0,1,1,262
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,1,1,430
20,0,1,1,313
21,0,1,1,278
22,0,1,1,281
23,0,1,1,284
24,0,1,1,313
25,0,0,1,249
26,0,0,0,0
27,0,1,1,383
28,0,0,0,0
29,0,1,1,280
30,0,0,0,0
31,0,1,1,281
32,0,1,1,296
33,0,0,0,0
34,0,1,1,279
35,0,1,1,329
36,0,1,1,267
37,0,1,1,265
38,0,1,1,281
39,0,1,1,315
40,0,1,1,282
41,0,1,1,247
42,0,1,1,281
43,0,1,1,249
44,0,1,1,264
45,0,1,1,231
46,0,1,1,332
47,0,0,0,0
48,0,1,1,263
49,0,0,1,281
50,0,1,1,282
51,0,1,1,262
52,0,1,1,328
53,0,1,1,298
54,0,0,0,0
55,0,0,0,0
56,0,1,1,296
57,0,0,0,0
58,0,1,1,281
59,0,1,1,296
60,0,1,1,316
61,0,1,1,315
62,0,1,1,314
63,0,1,1,281
64,0,1,1,331
65,0,1,1,366
66,0,1,1,295
67,0,0,0,0
68,0,1,1,365
69,0,1,1,477
70,0,1,1,267
71,0,1,1,246
72,0,0,1,219
73,0,1,1,297
74,0,1,1,281
75,0,0,0,0
76,0,1,1,279
77,0,1,1,317
78,0,1,1,315
79,0,1,1,331
80,0,1,1,281
81,0,1,1,268
82,0,1,1,264
83,0,1,1,282
84,0,1,1,252
85,0,1,1,249
86,0,1,1,263
87,0,0,0,0
88,0,1,1,213
89,0,1,1,346
90,0,1,1,281
91,0,1,1,262
92,0,1,1,284
93,0,1,1,265
94,0,1,1,282
95,0,1,1,281
96,0,0,0,0
97,0,1,1,315
98,0,1,1,265
99,0,0,0,0
